seed,family,job,arm,backend,mode,descriptor_index,chunk_ids,tokens,ready_skew_us,issue_skew_us,gpu_start_skew_us,ready_to_issue_us,issue_to_gpu_start_us,ready_to_gpu_start_us,gpu_comm_envelope_us,gpu_kernel_duration_us,router_overlap_us,router_overlap,rank_issues_before_final_router
13042,balanced,0,NCCL-D,nccl,D,3,3,512,2138.626,117.765,283.78,207876.8065,167.8035,208044.61,286.954,67.521,0.0,False,0
13042,balanced,0,NCCL-D,nccl,D,4,4,512,2149.364,111.974,298.434,226008.939,167.04399999999998,226175.983,301.394,65.185,0.0,False,0
13042,balanced,0,NCCL-D,nccl,D,5,5,512,2068.898,114.561,299.162,242575.9645,169.21749999999997,242745.182,302.274,66.02499999999999,0.0,False,0
13042,balanced,0,NCCL-D,nccl,D,6,6+7,1024,2080.77,114.516,641.636,259477.315,336.392,259813.707,644.748,67.50399999999999,0.0,False,0
13042,balanced,0,NCCL-P,nccl,P,0,0,512,1087.83,857.874,864.076,17169.927,225.61599999999999,17395.542999999998,867.18,8.992,0.0,False,0
13042,balanced,0,NCCL-P,nccl,P,1,1,512,1012.009,1544.74,1530.382,45089.5965,227.423,45317.019499999995,1533.488,3.058,0.0,False,0
13042,balanced,0,NCCL-P,nccl,P,2,2,512,998.782,686.814,687.376,75463.302,235.946,75699.24799999999,690.39,3.0599999999999996,0.0,False,0
13042,balanced,0,NCCL-P,nccl,P,3,3,512,964.902,204.842,206.616,105326.236,236.878,105563.114,209.622,3.0709999999999997,0.0,False,0
13042,balanced,0,NCCL-P,nccl,P,4,4,512,935.917,4375.078,4377.166,136341.1335,240.26100000000002,136581.3945,4380.186,3.074,0.0,False,0
13042,balanced,0,NCCL-P,nccl,P,5,5,512,930.63,895.835,893.618,168654.5485,239.6485,168894.197,897.006,3.197,0.0,False,0
13042,balanced,0,NCCL-P,nccl,P,6,6+7,1024,986.635,180.988,179.532,217476.46250000002,574.383,218050.8455,182.706,3.135,0.0,False,0
13042,balanced,0,MSCCLPP-D,mscclpp,D,0,0,512,889.538,617.609,468.011,129225.97750000001,1705.253,130931.2305,1355.87,1119.2495000000001,0.0,False,0
13042,balanced,0,MSCCLPP-D,mscclpp,D,1,1,512,815.84,544.783,280.667,129182.4495,1491.993,130674.4425,1294.344,935.4375,0.0,False,0
13042,balanced,0,MSCCLPP-D,mscclpp,D,2,2,512,827.91,348.704,286.614,130965.666,1638.201,132603.867,1899.516,1404.93,0.0,False,0
13042,balanced,0,MSCCLPP-D,mscclpp,D,3,3,512,813.975,220.329,353.37,132840.882,1822.7215,134663.6035,2192.391,1673.7350000000001,0.0,False,0
13042,balanced,0,MSCCLPP-D,mscclpp,D,4,4,512,800.038,412.828,521.114,134952.677,2077.772,137030.449,1564.656,1296.375,0.0,False,0
13042,balanced,0,MSCCLPP-D,mscclpp,D,5,5,512,789.771,453.924,254.88,137317.5915,1682.596,139000.1875,1498.11,1004.5395,0.0,False,0
13042,balanced,0,MSCCLPP-D,mscclpp,D,6,6+7,1024,730.625,146.958,241.551,139513.04249999998,2320.8945,141833.93699999998,3107.828,2220.5389999999998,0.0,False,0
13042,balanced,0,MSCCLPP-P,mscclpp,P,0,0,512,423.488,51.465,123.167,17595.9735,1509.955,19105.9285,971.034,788.992,0.0,False,0
13042,balanced,0,MSCCLPP-P,mscclpp,P,1,1,512,292.542,42.933,126.229,33253.4375,1428.096,34681.533500000005,923.648,728.066,0.0,False,0
13042,balanced,0,MSCCLPP-P,mscclpp,P,2,2,512,194.443,7.476,64.783,51109.3125,1442.6075,52551.92,889.112,770.5625,0.0,False,0
13042,balanced,0,MSCCLPP-P,mscclpp,P,3,3,512,102.581,106.75,4.841,68875.0745,1416.9165,70291.99100000001,1150.7,925.1869999999999,0.0,False,0
13042,balanced,0,MSCCLPP-P,mscclpp,P,4,4,512,33.152,50.132,14.612,86979.182,1418.3580000000002,88397.54000000001,1082.659,979.469,0.0,False,0
13042,balanced,0,MSCCLPP-P,mscclpp,P,5,5,512,462.858,132.2,49.903,104630.661,1437.7215,106068.3825,624.656,562.1875,0.0,False,0
13042,balanced,0,MSCCLPP-P,mscclpp,P,6,6+7,1024,101.788,190.618,74.466,140028.878,2449.831,142478.709,2241.531,2202.617,0.0,False,0
13042,balanced,1,NCCL-D,nccl,D,0,0,512,1067.189,178.738,295.256,130443.5875,142.269,130585.8565,321.942,96.938,0.0,False,0
13042,balanced,1,NCCL-D,nccl,D,1,1,512,1054.746,132.978,307.71,142265.16,152.799,142417.959,310.854,75.08800000000001,0.0,False,0
13042,balanced,1,NCCL-D,nccl,D,2,2,512,1059.685,98.811,105.638,155828.014,249.0245,156077.03850000002,108.644,3.0519999999999996,0.0,False,0
